11/11/2023, 'Hertha Berlin v Karlsruhe'],Exit position at minute 12.0 on away goal at odds 3.23 - profit =,0.385,1.986333333,0.986333333,minute =,8,,,,
12/11/2023, 'AIK v Varnamo'],Exit position at minute 20.0 at level odds 1.09 - profit =,-0.6596,1.809,0.809,minute =,16,,,,
12/11/2023, 'Lille v Toulouse'],Exit position at minute 17.0 at level odds 1.75 - profit =,0.0105,1.731666667,0.731666667,minute =,12,,,,
12/11/2023, 'Malmo FF v Elfsborg'],Exit position at minute 15.0 at level odds 1.84 - profit =,0.0121,1.817666667,0.817666667,minute =,10,,,,
12/11/2023, 'OB v Hvidovre'],Exit position at minute 24.0 at level odds 1.73 - profit =,0.0217,1.6925,0.6925,minute =,12,,,,
12/11/2023, 'Sirius v Norrkoping'],Exit position at minute 15.0 at level odds 1.76 - profit =,0.0241,1.7175,0.7175,minute =,10,,,,
12/11/2023, 'Atletico MG v Goias'],Exit position at minute 18.0 at level odds 1.78 - profit =,0.0559,1.6805,0.6805,minute =,8,,,,
18/11/2023, 'Blackpool v Shrewsbury'],Exit position at minute 15.0 at level odds 1.65 - profit =,-0.0055,1.659,0.659,minute =,6,,,,
24/11/2023, 'Alaves v Granada'],Exit position at minute 17.0 at level odds 1.31 - profit =,-0.385,1.814333333,0.814333333,minute =,8,,,,
25/11/2023, 'Bolton v Exeter'],Exit position at minute 15.0 at level odds 1.6 - profit =,0.009,1.585666667,0.585666667,minute =,6,,,,
25/11/2023, 'Norwich v QPR'],Exit position at minute 19.0 at level odds 2.08 - profit =,0.1126,1.845833333,0.845833333,minute =,6,,,,
25/11/2023, 'Dortmund v Mgladbach'],Exit position at minute 15.0 on away goal at odds 2.32 - profit =,0.304,1.614833333,0.614833333,minute =,6,,,,
25/11/2023, 'Getafe v Almeria'],Exit position at minute 19.0 at level odds 3.35 - profit =,0.4489,1.846333333,0.846333333,minute =,6,,,,
25/11/2023, 'Fluminense v Coritiba'],Exit position at minute 20.0 at level odds 1.47 - profit =,0.0304,1.425333333,0.425333333,minute =,16,,,,
26/11/2023, 'Betis v Las Palmas'],Exit position at minute 15.0 at level odds 1.76 - profit =,-0.0352,1.822,0.822,minute =,8,,,,
26/11/2023, 'Roma v Udinese'],Exit position at minute 15.0 at level odds 1.73 - profit =,-0.0253,1.773833333,0.773833333,minute =,8,,,,
26/11/2023, 'Hoffenheim v Mainz'],Exit position at minute 17.0 at level odds 2.08 - profit =,0.055,1.9655,0.9655,minute =,6,,,,
28/11/2023, 'Middlesbrough v Preston'],Exit position at minute 19.0 on home goal at odds 1.31 - profit =,-0.3677,1.791666667,0.791666667,minute =,6,,,,
28/11/2023, 'Barnsley v Wycombe'],Exit position at minute 15.0 at level odds 1.97 - profit =,0.0173,1.935833333,0.935833333,minute =,8,,,,
28/11/2023, 'Charlton v Cheltenham'],Exit position at minute 19.0 on away goal at odds 1.69 - profit =,0.0173,1.660833333,0.660833333,minute =,6,,,,
28/11/2023, 'Reading v Carlisle'],Exit position at minute 20.0 at level odds 1.97 - profit =,0.0264,1.918,0.918,minute =,16,,,,
30/11/2023, 'Eintracht Frankfurt v PAOK'],Exit position at minute 15.0 at level odds 1.59 - profit =,0.0091,1.5755,0.5755,minute =,6,,,,
30/11/2023, 'Gent v Zorya'],Exit position at minute 15.0 at level odds 1.33 - profit =,0.0048,1.323666667,0.323666667,minute =,6,,,,
2/12/2023, 'AC Milan v Frosinone'],Exit position at minute 15.0 at level odds 1.55 - profit =,-0.0041,1.556333333,0.556333333,minute =,6,,,,
2/12/2023, 'Lens v Lyon'],Exit position at minute 27.0 at level odds 1.9 - profit =,0.0292,1.8445,0.8445,minute =,6,,,,
2/12/2023, 'Atletico MG v Sao Paulo'],Exit position at minute 26.0 at level odds 1.97 - profit =,0.084,1.8045,0.8045,minute =,16,,,,
3/12/2023, 'Udinese v Verona'],Exit position at minute 18.0 at level odds 1.34 - profit =,-0.4383,1.927333333,0.927333333,minute =,6,,,,
3/12/2023, 'Lille v Metz'],Exit position at minute 15.0 at level odds 1.54 - profit =,0.0104,1.524,0.524,minute =,8,,,,
3/12/2023, 'Chelsea v Brighton'],Exit position at minute 15.0 at level odds 1.76 - profit =,0.0214,1.722333333,0.722333333,minute =,6,,,,
3/12/2023, 'Brondby v Hvidovre'],Exit position at minute 15.0 at level odds 1.1 - profit =,-0.1477,1.2625,0.2625,minute =,6,,,,
3/12/2023, 'Lille v Metz'],Exit position at minute 15.0 at level odds 1.54 - profit =,0.0278,1.497166667,0.497166667,minute =,6,,,,
3/12/2023, 'SE Palmeiras v Fluminense'],Exit position at minute 19.0 at level odds 1.47 - profit =,0.0932,1.333,0.333,minute =,6,,,,
4/12/2023, 'Celta Vigo v Cadiz'],Exit position at minute 16.0 at level odds 2.57 - profit =,0.3538,1.660666667,0.660666667,minute =,6,,,,
6/12/2023, 'Fiorentina v Parma'],Exit position at minute 24.0 at level odds 5.5 - profit =,0.7127,1.580166667,0.580166667,minute =,8,,,,
7/12/2023, 'Brest v Strasbourg'],Exit position at minute 15.0 at level odds 2.0 - profit =,0.0047,1.990666667,0.990666667,minute =,6,,,,
8/12/2023, 'Coventry v Birmingham'],Exit position at minute 19.0 at level odds 1.84 - profit =,-0.0113,1.860833333,0.860833333,minute =,10,,,,
